"Obs","Attrib","Effect","trt","Estimate","StdErr","DF","tValue","Probt"
"45","Shine","Fekkai Commercial Gloss+SFE839","Lab Made Gloss Only",0.4176,0.0960,1.3008,0.8832
"46","Shine","Lab Made Gloss+SFE839","SFE839+MAKIMOUSSE",-0.5254,0.0370,1.2846,1.8100
"47","Shine","Lab Made Gloss+SFE839","Control Shampoo Only",-0.1490,0.5502,1.2846,1.4336
"48","Shine","Lab Made Gloss+SFE839","Fekkai Commercial Gloss+SFE839",-0.01620,0.9482,1.2846,1.3008
"49","Shine","Lab Made Gloss+SFE839","Fekkai Commercial Gloss",0.000346,0.9989,1.2846,1.2842
"50","Shine","Lab Made Gloss+SFE839","Lab Made Gloss Only",0.4014,0.1094,1.2846,0.8832
"51","Shine","Fekkai Commercial Gloss","SFE839+MAKIMOUSSE",-0.5257,0.0369,1.2842,1.8100
"52","Shine","Fekkai Commercial Gloss","Control Shampoo Only",-0.1493,0.5493,1.2842,1.4336
"53","Shine","Fekkai Commercial Gloss","Fekkai Commercial Gloss+SFE839",-0.01654,0.9471,1.2842,1.3008
"54","Shine","Fekkai Commercial Gloss","Lab Made Gloss+SFE839",-0.00035,0.9989,1.2842,1.2846
"55","Shine","Fekkai Commercial Gloss","Lab Made Gloss Only",0.4011,0.1097,1.2842,0.8832
"56","Shine","Lab Made Gloss Only","SFE839+MAKIMOUSSE",-0.9268,0.0003,0.8832,1.8100
"57","Shine","Lab Made Gloss Only","Control Shampoo Only",-0.5504,0.0290,0.8832,1.4336
"58","Shine","Lab Made Gloss Only","Fekkai Commercial Gloss+SFE839",-0.4176,0.0960,0.8832,1.3008
"59","Shine","Lab Made Gloss Only","Lab Made Gloss+SFE839",-0.4014,0.1094,0.8832,1.2846
"60","Shine","Lab Made Gloss Only","Fekkai Commercial Gloss",-0.4011,0.1097,0.8832,1.2842

